Num of reads real,Coverage percentage,Num of mice,Num of samples,Samples-mice ratio,Score,Num of reads
5647953,40,1,11,11,0.52116288,5.647953
5647953,40,1,11,11,0.769616556,5.647953
7059941,50,1,11,11,0.523609744,7.059941
7059941,50,1,11,11,0.770825742,7.059941
7593528,40,1,20,20,0.532352095,7.593528
7851741,40,1,18,18,0.620188543,7.851741
7851741,40,1,18,18,0.857314078,7.851741
8231922,40,1,17,17,0.513027559,8.231922
8438033,40,1,18,18,0.516638298,8.438033
8471929,60,1,11,11,0.528940635,8.471929
8471929,60,1,11,11,0.772988322,8.471929
8888847,40,1,16,16,0.518343995,8.888847
8894122,40,1,16,16,0.501279572,8.894122
8977660,40,1,20,20,0.572188583,8.97766
8977660,40,1,20,20,0.803808339,8.97766
9418270,40,1,23,23,0.585917023,9.41827
9418270,40,1,23,23,0.818146234,9.41827
9491911,50,1,20,20,0.56228361,9.491911
9814677,50,1,18,18,0.561440554,9.814677
9814677,50,1,18,18,0.827947055,9.814677
9883918,70,1,11,11,0.530452917,9.883918
9883918,70,1,11,11,0.774420111,9.883918
10289902,50,1,17,17,0.541682469,10.289902
10517677,40,1,23,23,0.626519506,10.517677
10547541,50,1,18,18,0.542866998,10.547541
10665684,40,1,23,23,0.599473153,10.665684
10665684,40,1,23,23,0.827187073,10.665684
10665692,40,1,26,26,0.585788251,10.665692
10665692,40,1,26,26,0.821495026,10.665692
11111059,50,1,16,16,0.544529275,11.111059
11117653,50,1,16,16,0.540112227,11.117653
11222075,50,1,20,20,0.583401454,11.222075
11222075,50,1,20,20,0.810782215,11.222075
11295906,80,1,11,11,0.55280205,11.295906
11295906,80,1,11,11,0.789886466,11.295906
11390293,60,1,20,20,0.57533715,11.390293
11484411,40,1,27,27,0.601215961,11.484411
11484411,40,1,27,27,0.828988504,11.484411
11772838,50,1,23,23,0.633020567,11.772838
11772838,50,1,23,23,0.845581885,11.772838
11777612,60,1,18,18,0.610169969,11.777612
11777612,60,1,18,18,0.85250656,11.777612
12165407,40,1,27,27,0.61841959,12.165407
12347883,60,1,17,17,0.5680834,12.347883
12657049,60,1,18,18,0.570083177,12.657049
12707894,90,1,11,11,0.540477324,12.707894
12707894,90,1,11,11,0.782040452,12.707894
12829642,40,1,26,26,0.622918229,12.829642
13147097,50,1,23,23,0.634349158,13.147097
13288675,70,1,20,20,0.587854229,13.288675
13332106,50,1,23,23,0.618946041,13.332106
13332106,50,1,23,23,0.83984194,13.332106
13332116,50,1,26,26,0.599423139,13.332116
13332116,50,1,26,26,0.829177224,13.332116
13333270,60,1,16,16,0.578461454,13.33327
13341184,60,1,16,16,0.53193501,13.341184
