id	strain	Age	Stimulus	Individuals	Celltype	CellName
do4737	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_2
do4739	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_96
do4740	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_95
do4744	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_4
do4752	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_89
do4755	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_11
do4757	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_87
do4758	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_86
do4764	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_83
do4778	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_24
do4779	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_23
do4780	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_22
do4791	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_29
do4792	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_30
do4795	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_69
do4802	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_34
do4803	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_35
do4804	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_36
do4810	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_39
do4817	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_55
do4825	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_54
do4830	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_50
do4831	Mus musculus castaneus	Young	Unstimulated	CAST young 1	MACS-purified Naive	SS19_naive_51
do4840	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_4
do4843	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_91
do4846	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_7
do4848	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_89
do4852	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_10
do4853	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_87
do4872	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_77
do4878	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_74
do4879	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_73
do4886	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_28
do4889	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_67
do4892	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_31
do4897	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_66
do4902	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_62
do4909	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_60
do4910	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_40
do4923	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_47
do4926	Mus musculus castaneus	Young	Active	CAST young 1	MACS-purified Naive	SS19_active_50
